rank,date_posted,definition,usage_example,up_votes,down_votes,posted_by,,
20,2006-07-16,A nightmare with tits.,"As a feminist, I've decided that the thing between my legs is the sum of my identity and the cause of all my problems.",1180,1385,Nicosticko,,
21,2005-02-10,"Feminist- Defination used by a group of ""wanna be men"" women. desiring to have a penis to which they can fuck themselves.",Did you hear about the feminist rally that turned into a giant lesbo fuck fest.,851,992,l-g,,
22,2003-07-01,"Male-hating, PC, whiney left-wing-extremist bitch. Not to be confused with those who want equal rights and respect for women, and all people in general; such people can be found all over the political spectrum (except among the Religious Right and their allies, that is).",NA,1469,1746,Brian X,,
23,2010-11-02,"A woman who has been led to believe that all men are dim-witted, violent animals and all women are perfect, infallible goddesses. Actively supports misandry in the education and legal systems.","Dee Myers are Hariet Harman evil, man-hating feminists.",395,450,SilasPollux,,
24,2018-08-21,"People who want equal rights between men and women but are against equal responsibilities for both genders. A lot of feminists in 2018 wants only females to have powers and be worshiped by males. Feminists think they deserve much more than men without having to do the work for it. They usually uses the term ""rape"" for everything males do that females disagree with. Feminists are always unsatisfied because they complain about anything they don't like and can't accept the fact the they can't always get what they want. Also, a lot of feminists are really uneducated and can lose to arguments against a middle school student. Feminists are mostly WHITE middle-aged females that are VIRGINS.",Feminists: Women should have more responsibilities. We should fight for equal responsibilities. Men are so unreliable and stupid. Feminists are superior among st everybody else. Feminists: Women have too much responsibilities. We should fight for equal responsibilities. Men are so unreliable and stupid. Feminists are superior among st everybody else.,13,8,Little Pumpernickel,,
25,2017-06-23,Technical definition for a minge eater,"Stacey: ""Milly, come over here and eat my fucking unwashed beaver, i want a feminist"" Milly: ""Sure, but i wish you had a dick, dicks rule""",12,8,DIRTY BOLLOCKS,,
26,2017-02-09,A cunt,You think woman shouldn't be sentenced to jail if they falsely accused man of rape. You are such a feminist! Fucking delusional cunt.,12,8,MrBoob,,
27,2018-06-03,People that believe there are more than two genders and make fake theories off of thoughts and belief but have no scientific evidence to prove otherwise. Or Woman who believe in gender equality but do not care about men and boys saying that men are the root of all evil but women can also be evil. This is excluding the non feminists.,Stop yelling at us feminist!,12,8,Mememememmeeemmeememmeme,,
28,2015-08-22,A word used by idiots with a low self-esteem to identify with other people because they're lesbians and hate men,"Normal girl: Wow, look at that cute boy over there! He sure has some good looks! Feminist (or feminazi): YOU SEXIST PIG, MALES ARE THE SPAWN OF SATAN EVEN THOUGH I DON'T BELIEVE SATAN EVEN EXISTS",28,24,pooeygirldooey,,
29,2015-12-02,If you feel that all men are evil. You're a feminist and you might hate a meninist.,"A feminist Would say ""I think women in video games are not treated equally""",14,10,Kenlars,,
30,2019-02-10,"A phrase meant for a female who supports 'equal' rights but only when it's not equal and instead women superiority. They can be incredibly annoying, commonly with their squeaky voices and idiotic ideas . The phrase can no longer be taken seriously and can only be used in bad light. Be careful fellow men, any female can be a feminist; your mom, sister, GF etc. Try to avoid them or you most likely will be accused of rape or assault (basically have your life ruined for being around them)",Man - Feminists are bad Feminist - DId YOu juST RApE mE?,19,15,IAmRightoShapiro,,
31,2008-05-19,"A female who seeks equality. Often confused with feminazis. Unlike feminazi they feel that men and women should be equally treated at all cost, feminazis go beyong equality and acts like women are superior.",There's nothing wrong with being a feminist and seeking equality.,1596,1993,wuurrp,,
32,2008-01-15,"a ugly ass bitch who will never get laid, and takes her frustration about it out on men.",nobody likes that bitch because shes a feminist,531,647,Dr. Wilson,,
33,2007-08-26,"Women or men who believe that women should be treated equally as men. The problem with that, is it usually ends there - that is, feminists wouldn't give a fuck about it being the other way around (men being equally treated as women) to add to that, it usually isn't about having equality, its about having MORE. Also, if equal treatment is requested, then apparently feminists want to pay the bill and open the door for a man now. Oh wait, they probably don't - its equal, yet unequal treatment I guess. Makes plenty of sense. Now, to address the stupid people who have a problem with the image of women on televison... GET OVER IT. For starters, and this is a big thing, the woman accepted the job to be on the show or commercial that portrayed her as the steryotypical houswife! What the hell! So, why don't you go down and attack her for doing that? And there is an entry about feminism by an author called ""lick_it_bitch"" who complains that tv sitcoms use skinny, beautiful women to be companions of fat, ugly men... and the tv shows that she lists to give examples of this are: ""the drew carey show, family guy, the simpsons""... WHAT THE FUCK?!? TWO OF THOSE ARE FUCKING CARTOONS AND THE OTHER ONE IS THE FUCKING DREW CAREY SHOW SHIT! And another problem I have with feminists is the fact that they seem to think that women should be treated equal simply because they're women. Nope. Doesn't work that way pal. If some womans a stuck up pompas ass bitch, no one should f@#$ing respect her simply because she's a woman. Okay.... this is for people like (these are the usernames of people that have submitted entries) ""Lick_it_bitch"" and ""unachicafantastica"" as well as the rest of those extreme feminists. Go fuck yourselves, its because people like you that women (one of the most beautiful things on this planet) are being oppressed and even hated. And the last thing I would like to address - lick it bitch says (among a list of things that she disapproves of) ""when its no longer legal to create or sell pornography showing a woman be violently raped"" you are a fucking moron really... ITS FUCKING PORN! IF YOU ARE LOOKING FOR GOOD OL FASHION FAMILY FUN DON'T FUCKING LOOK FOR IT IN A PORNO YOU ASSWIPE. Shit...",Most feminists drive me effing insane,816,1011,seemethenbitch,,
34,2018-11-29,"Someone who must be tripping on acid because who the fuck says"" WOWOOW U hiTtInG On Me BEcaUsE u SaiD hI""",someone who needs to die; wow shes a feminist im gonna go kill IT,6,3,ANTILibeRAL,,
35,2018-08-10,A individual who claims to advance the support given to women but doesn't realise he/she is ruining the society by supporting more feminism than required.,"John: See how that girl complained to the school master about the innocent boy who requested a pencil ? Sara. : Yes, I saw today. But what did the girl complain . John. : The girl explained that the boy was harassing her . Sara : So sad , this need to stop the girl should be suspended instead of him. She is a harsh Feminist.",6,3,Dictionaryoxfordind,,
36,2017-07-08,A cancerous thing that infests this earth and the entirety of the internet,"Feminist: ""Oh my god that fucking air conditioner is fucking sexist. I BLAME THE PATRIARCHY!"" Girl: ""This is why we can't be happy because of idiots like this.""",6,3,Maginko,,
37,2019-06-07,A female born with a few too many chromosomes.,Hey you see that feminist; Never ever go near them you might get their extra chromosomes.,6,3,Thot_suffocator,,
38,2015-07-16,Someone who tries to deny the fact that women are terrible drivers.,"Person 1: I was a juror in a case about a woman that killed 3 kids with her car. She admitted to texting while driving and applying makeup simultaneously, but her lawyer still got her out of a prison sentence. Person 2: Wow, that lawyer must have been a real feminist!",23,20,equal_opportunity_basher,,
39,2007-09-11,Someone who wants to be more equal than everyone else,"Damn Feminists, think they own the place",774,972,distilledfx,,
40,2016-05-29,"A professional victim who severely lacks logic and reasoning skills, and takes the world around them for granted. Usually without the ability to take responsibility for their own life, in a constant desperate search for someone or something else to blame fort their misery. They speak only lies and half truths, and distort statistical and historical facts, in order to gain support for political change, to hand them even more undeserved benefits on a silver platter, and to keep themselves victimized. They claim their beliefs are about equal rights and equal opportunities with men - which was already achieved decades ago. But nothing is further from the truth - it's about entitlement to things they didn't do shit to deserve. They claim independence, but by a large margin really just steal mens money by state proxy through taxation, without having to present a tradeoff for the financial support and stability. Feminists say the fight sexism, but their double standards are obvious, as most of them still hold traditional beliefs to what a man 'should do', how men should act, and what's 'a mans job' is ect. They're the direct cause of the decline in cultural degredation, declining birthrates, and the abolishment of the institution of marriage, as anything but a stepping stone towards free money and an easier lifestyle through no effort.","Tracy is a really beautiful women. I 'm gonna ask her out. ""Dude, don't. She's a batshit crazy feminist. Nobody knows when she caught it, and there's no known cure yet. Take that crazy bitch home, and you're sure be wakened by two cops the next morning.""",22,19,The Real Gentleman,,
41,2016-06-07,"Slang term for ""retard."" Can usually be seen with dyed hair, unhealthily large weight, and abnormally-shaped hipster glasses. Pretends that women are the most awfully, pitifully, shamefully oppressed demographic on Earth, and uses that notion to justify their hypocritical harassment towards literally every other demographic on Earth, especially white males.","Male: Hi stranger, nice day isn't it? Feminist: STOP HARASSING ME!!! Male: Whoa relax I'm just- Feminist: GO TO HELL YOU FUCKING PATRIARCHAL MALE CIS RAPIST SCUM!!! I'M GOING TO TELL THE WORLD ABOUT YOU ON TUMBLR AND RUIN YOUR LIFE!!! Male: *backs away slowly*",17,14,Dr. Fucktits,,
42,2019-05-29,A beluga whale that often weighs over 300 pounds you can often spot the exotic creature on animal planet very common in America The UK and Australia often found waddling around,Damn look at that beluga whale looking feminist,15,12,Birdman is king,,
43,2017-05-04,"A male or female (equality) that hates men because they don't believe in equality (equal rights for men and women) . doesn't really make sense, oh and they also get offended at everything e.g men, police ( male) , the government, trump, the news and many more",Look at that woman screaming over there smh she must be a feminist,15,12,Pepperoni dong,,
44,2017-03-31,Little bitch that is jealous of men with large cocks. Fuck feminist,Did you hear about that feminist botching about men,8,5,Ethanbradberry,,
45,2017-07-12,A PIECE OF FUCKING SHIT THAT SAYS FUCKING RAPE IF YOU BARELY TOUCH EM YOU CUNT,THE FEMINIST SAID RAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,14,11,EGGPLANTDUDE,,
46,2016-04-21,"Feminists are very much like the fascists of the third reich. For some reason they have this insane delusion that women should have the same rights as men. You can not reason with feminists since they do not understand words, so their arguments consist of small grunts and dissatisfied screaming.","-It really annoys me when feminists tell you that they're fighting for genderequality, but at the same time put up terms that will make an inferior race. -Yeah, being inferior is female business. -I love you Trevor, -I love you too, John, but not in a homosexual way, since women would just protest again how we prefer men just because they're men.",14,11,BRUMS3N,,
47,2018-03-13,A pussy with a beard.,"Barber: ""How short do you want it?"" Feminist: ""The usual, number 2 but can you not trim the side burns this time"" Barber: ""Sure, whatever tickles your fancy""",9,6,Dorothy Pitman Hughes,,
48,2018-07-30,"A retarded millennial who dyes their hair like their in a rock band from the 70's, who hates free speech and men, you will most commonly find them on huffington post and buzzfeed","As a feminist said"" everything is sexist, everything is racist """,9,6,Androxus,,
49,2018-04-03,"An unattractive woman who believes in female superiority, the non-existent gender wage gap and rape culture. Synonyms: wanker, douche, misandrist, retard",I'm never being a feminist.,12,9,Volgen,,
50,2019-05-23,A basic bitch who shops at hot topic to much and hates men because ... we don't know... these women or more like middle schoolers don't know what to do about their ex boyfriend so they complain about our 75 cents to their dollar and decide not to shave their vagina,"Yeah she's a feminist. ""Why."" ""who knows""",11,8,Jwjwnwl,,
51,2017-12-06,A fat ass woman who thinks that she rules the world because every time a man looks at her is statutory rape .,man -hi lady want a free sample of coconut crackers. fat feminist bitch-help i have been raped by a man. man-i was only asking you to try a sample. fat bitch-SOMEONE CALL 911. fat bitches squad-GET HIM HE RAPED US 2. man-fuck my life,11,8,FATDICKLOVER,,
52,2011-01-10,A female supremacist,"That Feminist is Pro-Choice, as in women have complete control over whether a fetus is brought to term while men have no control. That Feminist believes that female virtue is innately superior and that men are responsible for all bad and nothing good.",351,449,IBlokes,,
53,2018-04-16,"Any woman or girl older than ten years old who believes that men exist only to rape women. If provoked, they will lash out at the target, sometimes yelling at the top of their lungs, ""SHUT THE FUCK UP!"" while kicking and scratching everybody around her. Usually have feminist mothers. Beware.","Boy: Aren't you a feminist? Girl: HOW DARE YOU? HOW DARE YOU USE THAT WORD TO DESCRIBE US! WE CANNOT BE SUMMED UP BY ONE MEASLY PHRASE! YOU SHALL PAY FOR THIS!!! Boy: But I thought you called yourselves feminists, so why can't I? Girl: KAME... HAME... HA!!! Boy: *is dead*",13,11,yeetyee,,
54,2020-07-29,Feminist which is actually stand for equality but in reality it's nowadays is spreading misandry (man hating) in the name of equality,I'm a feminist who support equality but in reality I hate men,3,1,Nova900,,
55,2010-05-24,A women that refuses to cook you some eggs,"man-""Go cook me some eggs""; feminist-""NO go get a job""",582,817,wildboy77,,
56,2018-07-29,"A feminist, Not to be mistaken for a feminazi, is someone (man or woman) who believes in equal rights for each gender. It could be for equal pay rights or being forced into the military. Feminists aren't all that bad. It's only the feminazis that everybody hates.",Barry: Did you see the feminists rant the other day about equal pay rights? Sue: Yeah. But then the feminazis came in and said ice-cream was sexist! Barry: Thats so stupid!,17,16,wacky yo,,
57,2018-08-01,"A feminist is a common word used to describe a woman/man who stand for equal rights. Feminists are NOT man haters but everyone is different. There are two different types of feminists on the Earth. 1. A feminist who wants ALL the pros AND cons about having the same rights as a men, caring about rights AND responsibilities. 2. A feminist who hates men and all masculinity, and stands for women being equal without the same rights as men. In conclusion, a feminist is someone who is tired of men needing women to have big asses, massive tits, and small waists. Women feel the need to have these things because men have made women so unrealistic in their minds, and they've succeeded. Congratulations on ten year olds wanting a big ass and tits.","I'm a feminist, I stand up for equal rights between men and women.",17,16,yesjustlikethefruit,,
58,2019-01-12,A person typically a woman who hates men and thinks there all rapist and usually weighs at least 450 pounds,That person that hates men must be a feminist,8,6,Thegramy,,
59,2019-05-07,A retart that victimizes her self because of her gender,Bitch U a Feminist,8,6,dicktoster,,
60,2018-07-30,A woman/whale whos brain is very undeveloped and love to accuse men of rape and think its ok to make and eat food with period blood aka fucking retards,Wow that feminist is a fucking dumbass,7,5,fokboi,,
61,2017-02-09,"A worthless piece of hippocrit shit who decides that all men believe that all women are worthless pieces of shit, and therefore treat men like worthless pieces of shit, thus making them worthless pieces of hippocrit shit.",Fucking feminists,7,5,i hate zalman rodkin,,
62,2017-04-22,"Like a Nazi, but somehow less appealing and more bigoted. shares a family with the Landwhale. Spends most of its time complaining about non-issues, and using oppressed people from third world countries as a justification for their continuation of a long since obsolete western movement.",The feminist has hair the colour of skittles,7,5,Kekory Dickens,,
63,2018-02-08,feminism a point in the universe were the autism is so great it physically manifests in to a massive pile of cancer most commonly known as a feminist,"Doctor: i'm sorry to tell you, you have a terminal disease; Patient: what is it, cancer? Doctor: worse your becoming a feminist",4,2,arselicker_69,,
64,2017-02-02,A group of women that accuse men of sex abuse because they think women should be pampered just because they have a vagina,Feminists are assholes,13,12,money4Riley,,
65,2005-04-01,"Ugly lesbians. (please disregard the rest of this definition, I had to meet the cock-sucking 20 letter-3 word requirement)",Cook my food bitches! (refering to feminists),522,787,"richie from belmont, ca (not giving you my last name skaky feminists)",,
66,2020-06-27,one who promotes gender equality and doesn't take any sexist bullshit like that of the other definitions of this word,"wow, she stood up for what she believed in despite the patriarchal society in which she grew up in and still has to deal with today, what a feminist icon",6,4,itstwots,,
67,2010-10-28,Any female with an opinion.,She likes the toasted Italian bread more than the wheat bread? What a feminist...,421,640,Jnaut7,,
68,2005-03-02,"see also Cunt Nazi, madam.",That madam is a cunt nazi. No cunt for you!,585,911,anonymous,,
69,2003-08-21,,,617,971,Alex,,
70,2006-02-15,,,417,664,spittinpigeon,,
71,2018-12-07,,,9,8,The Yin and Yang Dragon,,
72,2016-04-23,,,9,8,TheMiloAntiFeminst,,
73,2016-07-26,,,9,8,xxxjerrysuxcoxndix69xxx,,
74,2007-02-10,,,461,749,Andrew Strand,,
75,2017-05-08,,,8,7,JJJJJJJJJJJoy,,
76,2006-08-26,,,3379,6293,Lick_it_bitch,,
77,2006-10-08,,,399,707,lizzypooh,,
78,2016-07-26,,,6,5,xxxjerrysuxcoxndix69xxx,,
79,2019-11-16,,,9,9,Reading Crazy Kid,,
80,2020-06-27,,,5,4,wacky100,,
81,2006-02-09,,,443,839,Midol Girl,,
82,2020-08-04,,,1,0,WORD CREATER AND DEFINITIONER,,
83,2019-11-21,If you are a male looking this up you are probably not one,look the feminists are out marching against rotten men; lets join'em,1,0,The true truth teller 101,,
84,2020-05-04,Annoying,That ugly fat rainbow-haired bitch over there is a feminist!,1,0,n1ggear,,
85,2019-12-06,A person who think women are superior and have the iq of the life expectancy of an anti-vaxx child,That feminist over there is big dumb,1,0,Big dicc nibba,,
86,2020-08-23,A feminist is a female or group of people that think more rights should be given to women.,"Men's rights activist 1: Did you hear what the feminist shouted at the rally? Men's rights activist 2: Yeah, they said 'Equal rights' or something. It's bullshit, they only want more rights and not equality. Men's rights activist 1: Yeah, I know.",1,0,TheDakomeister,,
87,2020-11-18,"A person, wether man or woman, who fights for or believes in equal rights for women",Believing that women deserve equal pay in the workplace makes me a feminist.,1,0,Ky_yes,,
88,2020-07-18,"All these definitions are trash I'm sorry. But a feminist is someone who is someone who believes in equal rights for women and men. Sure we have equal rights an all but some people need to get that in their heads. Saying that men are better then women and not expecting a women to get mad or disagree is just a bad thought on your part. Sure men can do things that women can't, but you know women can do things that men can't do to. Thank you very much.",Jack: only boys can play football. Linda: girls can play football too! Jack: ugh you're such a feminist,1,0,Itssssmeeee,,
89,2020-09-06,Little girl apart of the LGBTQ+ community with dyed hair and also has mental health issues.,"Look at Sarah, such a feminist.",1,0,smokedeeznuts,,
90,2018-08-03,a loser who blames all life's problems on straight white men.,she such a feminist,7,7,brandonmdog,,
91,2019-06-02,BITCH,FEMINIST ARE BIG GAY!!!,7,7,420gummy,,
92,2019-09-25,Specifically womans right activists who think and pretend everything men do is stupid and believe that they want to sexual assault her at all times and is a hypocrite,"Man: *breaths* Feminist: *Gasp* ""HOW DARE YOU?!""",7,7,Idiot with internet access,,
93,2019-12-31,An greedy roastie who wants to rip everybody off and get paid more for less to raise Chad's kids after Chad bailed and ran off with some fresh Stacy,Fuck you feminist. Fuck Chad too,7,7,D Flawless,,
94,2017-10-30,Fucking cancer cells that will never go away!,"Those damn feminists are at it again , trying to join boy scouts!",9,10,so hows ur mom,,
95,2007-01-14,"A woman who should be in the kitchen making me sandwiches or in the bedroom sucking my cock rather than spouting out radical ideas like ""women have rights too"".",Those feminists better know that I like ham and turkey sandwiches. No crust!,375,731,Ramon321,,
96,2018-01-17,A woman who claims they are being oppressed for society to kiss their ass. Usually this person has super short hair and dyes their hair to make a statement. These women mostly are liberal nut jobs who belong in an asylum.,She is such a fucking feminist. She just wants everyone to kiss her ass.,4,3,The Open Window Maniac,,
97,2019-02-15,"A person who believes in the social political, and economic equality of the sexes",Sarah is actively standing against the unequal pay in her workplace. This makes her a feminist.,4,3,LovelyAri,,
98,2018-12-22,A person that believes they are trying to get gender equallity but will go on a temper tantrum when females is targeted in a negative manner.,A bunch of feminist are mad that some fat lady was guilty of rape.,4,3,Commander8750,,
99,2019-05-18,"Someone who believes in equity for all genders and people. Doesn't want to take down men. Doesn't think women are better than men. Does want to be equal to men in a society that is run by idiots (mostly men, no offence)",Feminist: I want equity and equality for all. People who don't understand feminism: Feminists want to control men and rule the world. Feminist: just like what men are doing and have been doing for centuries...,4,3,Ebelzie,,
100,2008-01-29,1. a bitch. 2. a woman who is ugly and has no chance at getting married.,1. man: can you believe that feminist? other man: yeah she needs a good fucking. 2. Woman: The only reason she hates men is cause they refuse to touch her. Other woman: she should become a lesbian.,298,580,anananamous,,
101,2005-08-30,"Contrary to popular belief, a feminist is not a bra burning, man hating psycho, just as a Muslim is not a terrorist, there are always extremists. A feminist is really just a person who believes in equal rights for both women and men","If you're not a feminist, you're a misogynist",2676,5589,Pol_pop,,
102,2005-01-07,,,2784,6000,gbeann,,
103,2018-07-12,,,6,6,TheRogueToast,,
104,2017-12-01,,,6,6,Feminist123789,,
105,2016-12-10,,,6,6,ryhlyh,,
106,2018-03-03,,,6,6,Justabasicfangirl,,
107,2019-02-15,,,3,2,-•@@killerchicken@@•-,,
108,2020-06-25,,,3,2,Please don’t be misogynistic,,
109,2018-10-28,,,3,2,Haha Oof,,
110,2017-12-21,,,3,2,Ecm1323,,
111,2018-09-06,,,3,2,go fock yersel ya fat pedo,,
112,2004-11-28,,,2603,5828,Sarah,,
113,2004-11-11,,,2469,5710,R,,
114,2005-07-27,,,2573,5977,Fenderrrilla,,
115,2019-02-05,,,5,5,Haveagoodday:),,
116,2019-03-23,,,2,1,p0liticallyc0rrect,,
117,2020-07-20,,,2,1,therealtruefacts,,
118,2020-06-24,,,2,1,🪐♛ᶠᵁᶜᴷᵀᴿᵁᴹᴾ♛🪐,,
119,2008-12-14,,,2019,4830,goneawaykd,,
120,2018-07-08,,,9,12,Dickmaster69womancrap,,
121,2004-01-22,,,2377,5736,A logical Feminist,,
122,2003-07-04,,,2294,5613,jessica,,
123,2017-06-23,,,6,7,johhny depp,,
124,2016-05-28,,,6,7,gangeroos,,
125,2007-09-05,,,2209,5438,Gray Jack,,
126,2006-10-15,,,2211,5462,.Wonderwoman.,,
127,2008-07-20,,,2139,5648,Marie Jayne,,
128,2004-11-13,,,1927,5104,James,,
129,2008-04-10,,,1776,4729,feministproud,,
130,2019-02-21,,,5,6,GKAndy44,,
131,2018-02-12,,,5,6,gamekking,,
132,2008-01-06,,,1862,5065,"H,Josie,C",,
133,2010-03-24,,,1874,5102,feministnerd,,
134,2008-06-13,,,1841,5021,MeIz Anonymous,,
135,2004-07-06,,,1850,5057,YourMom,,
136,2007-05-04,,,1843,5052,xX_nameless_seductress_Xx,,
137,2010-03-31,,,217,557,Striker122,,
138,2005-02-20,,,1912,5366,s,,
139,2008-06-19,,,1912,5446,Fee Core.,,
140,2011-12-04,,,179,469,1sjsjsj1,,
141,2005-07-27,,,1804,5179,Krystel,,
142,2017-10-05,,,3,3,Clay Jenson,,
143,2018-05-17,,,3,3,xXFan_SquirrelXx,,
144,2018-11-22,,,3,3,Th3 Nam3 Mak3r,,
145,2016-12-16,,,3,3,"Live life, don't ruin others",,
146,2017-04-22,,,3,3,cbjlgihghcailufdjidonsoivjnvdj,,
147,2017-06-02,,,3,3,Small dick Eugene,,
148,2017-06-14,,,3,3,Slasher0921,,
149,2017-09-12,,,3,3,Ting_ting,,
150,2018-03-02,,,3,3,A c t u a l definitions,,
151,2018-03-05,,,3,3,Feminist run the world,,
152,2016-06-17,,,3,3,p9990,,
153,2018-06-22,,,13,25,Clams4Dayz,,
154,2016-05-22,,,4,5,The guy who keeps it real,,
155,2017-11-27,,,4,5,experiment54,,
